Grade,diff_gray,Xred,Xgreen,Xblue,Sdred,Sdgreen,Sdblue,minred,mingreen,minblue,maxred,maxgreen,maxblue,skewness_red,skewness_green,skewness_blue,kurtosis_red,kurtosis_green,kurtosis_blue,mean_yellow,std_yellow,min_yellow,max_yellow,Xhue,Xsat,Xval,Sdhue,Sdsat,Sdval,minhue,minsat,minval,maxhue,maxsat,maxval,skewness_hue,skewness_sat,skewness_value,kurtosis_hue,kurtosis_saturation,kurtosis_value,XL,Xa,Xb,SdL,Sda,Sdb,minL,mina,minb,maxL,maxa,maxb,skewness_L,skewness_a,skewness_b,kurtosis_L,kurtosis_a,kurtosis_b,autocorr,cluster_prom,cluster_shade,corr,contrast,dissimilarity,energy,entropy,entropy_diff,variance_diff,homogeneity,meas_corr_1,meas_corr_2,inv_diff,max_p,sum_average,sum_entropy,sum_squares,sum_variance
0,0.709503,0.501203,0.494212,0.422462,0.233552,0.450846,0.244791,0.327586,0.309524,0.144144,0.31746,0.318841,0.361446,0.414416,0.182963,0.333383,0.196569,0.195994,0.156341,0.466536,0.200415,0,1,0.334343,0.350791,0.487573,0.640905,0.455823,0.273514,0.003805,0.788907,0.410256,0.999999,0.812151,0.37931,0.429755,0.665977,0.404069,0.260219,0.154848,0.186372,0.506301,0.72162,0.36167,0.421229,0.441881,0.276555,0.36297,0.704502,0.795672,0.328817,0.270359,0.782649,0.2382,0.904344,0.744558,0.185462,0.683138,0.163138,0.464913,0.157516,0.106016,0.191351,0.046385,0.209298,0.243027,0.54829,0.29191,0.034849,0.703601,0.473245,0.810448,0.692778,0.318223,0.497777,0.641471,0.308196,384874.642
0,0.629516,0.377972,0.312279,0.581857,0.257657,0.370666,0.391585,0.689655,0.380952,0.504505,1,1,0.855422,0.469644,0.318098,0.71655,0.177879,0.093426,0.219917,0.307481,0.180617,0,1,0.51175,0.439623,0.363521,0.875776,0.40567,0.304873,0.000829,0.434413,0.487179,0.999999,0.499777,1,0.266638,0.147498,0.462502,0.093848,0.133905,0.169601,0.311865,0.559751,0.105916,0.374838,0.44457,0.436666,0.294416,0.77395,0.649667,0.963501,0.165375,0.456363,0.366114,0.686939,0.330399,0.093315,0.288653,0.109582,0.285638,0.225739,0.051039,0.271354,0.15064,0.372796,0.210748,0.569794,0.462884,0.135091,0.534792,0.558751,0.655817,0.519616,0.232975,0.320122,0.580179,0.219847,447143.0707
1,0.564218,0.87741,0.897012,0.60039,0.203952,0.386203,0.164689,0.344828,0.761905,0.540541,0.380952,0.536232,0.566265,0.035388,0.055113,0.453815,0.680053,0.247474,0.05516,0.888625,0.179144,0.21875,0.313253,0.600857,0.265202,0.914038,0.48655,0.35749,0.227268,0.003805,0.355131,0.871795,0.888888,0.343967,0.568966,0.063405,0.384014,0.045573,0.012793,0.043762,0.658966,0.904658,0.672613,0.061318,0.322654,0.36813,0.301374,0.839306,0.582524,0.649746,0.534999,0.142226,0.456215,0.091053,0.894262,0.44164,0.259433,0.576086,0.102828,0.868449,0.116165,0.086296,0.235148,0.051353,0.178323,0.293846,0.4726,0.254182,0.044266,0.764008,0.397828,0.797301,0.75531,0.30015,0.879055,0.572323,0.25492,424722.9679
1,0.777866,0.974905,1,0.971562,0.140786,0.222833,0.072634,1,0.904762,0.342342,0.698413,0.608696,0.457831,0.431087,0.309648,0.473251,0.154451,0.054475,0.549304,0.98501,0.084694,1,0.614458,0.375903,0.152219,0.959304,0.626678,0.021697,0.177809,0.024438,0.57674,0.948718,0.888888,0.624231,0.672414,0.329534,0.335655,0.423872,0.143403,1,0.144946,0.996116,0.688227,0.026572,0.209023,0.165736,0.167909,0.887028,1,0.477937,0.651253,0.255581,0.564287,0.325479,0.388532,0.437852,0.056814,0.188754,1,0.996157,0.218132,0.009647,0.483413,0.003657,0.010407,0.571211,0.148873,0.022918,0.004729,0.984914,0.032129,0.738185,0.98494,0.439448,0.996963,0.280225,0.101279,213483.2174
1,0.560587,0.180262,0.230741,0.169464,0.275311,0.391733,0.085714,0.206897,0.142857,0.459459,0.111111,0.130435,0.072289,0.526251,0.374109,0.559149,0.060434,0.049142,0.101806,0.176851,0.176545,0,1,0.384607,0.199336,0.168903,0.558168,0.208591,0.325052,0.003805,0.327735,0.102564,0.75,0.31859,0.12069,0.316545,0.405778,0.511714,0.14311,0.152291,0.057304,0.235422,0.654903,0.05629,0.392488,0.25146,0.222675,0.178379,0.852898,0.6126,0.102737,0.242245,0.373915,0.387295,0.520963,0.5469,0.052288,0.168915,0.211631,0.231929,0.231639,0.041681,0.280459,0.042586,0.226707,0.242111,0.477242,0.287337,0.028298,0.662043,0.431842,0.728626,0.643932,0.188269,0.264612,0.554697,0.21279,322800.831
1,0.758722,0.334542,0.433255,0.444587,0.236477,0.311522,0.049308,0.431034,0.380952,0.585586,0.190476,0.246377,0.168675,0.509613,0.311007,0.495802,0.231722,0.172751,0.153243,0.363252,0.161727,0,1,0.326268,0.088068,0.326566,0.600973,0.08684,0.287034,0.003805,0.131354,0.230769,0.888888,0.143362,0.155172,0.319547,0.31958,0.498141,0.14233,0.15448,0.229932,0.436784,0.780281,0.189585,0.328802,0.290945,0.017001,0.315409,0.90759,0.79005,0.196072,0.131808,0.138818,0.326056,0.354543,0.380495,0.195363,0.294094,0.237397,0.416367,0.211631,0.045661,0.322504,0.021105,0.110073,0.401041,0.353696,0.158095,0.016101,0.83583,0.270215,0.780466,0.827196,0.382737,0.453765,0.475883,0.181283,316537.9181
1,0.738665,0.730788,0.817415,0.767316,0.30954,0.445145,0.107813,0.637931,0.642857,0.540541,0.428571,0.449275,0.566265,0.544085,0.366776,0.442938,0.030785,0.031778,0.16599,0.766141,0.203652,0.3125,0.277108,0.554842,0.119557,0.72455,0.490275,0.145574,0.365965,0.013477,0.299981,0.74359,0.888888,0.29278,0.482759,0.08891,0.498863,0.527545,0.0197,0.247105,0.024571,0.813533,0.664416,0.226094,0.423904,0.201304,0.080255,0.727857,0.765664,0.805698,0.502374,0.294767,0.291696,0.381704,0.502896,0.444823,0.031544,0.105779,0.280968,0.801508,0.228179,0.052234,0.23917,0.020483,0.130242,0.277257,0.429597,0.178148,0.01331,0.798319,0.344601,0.809435,0.786941,0.196355,0.81848,0.553888,0.250954,328799.8651
1,0.673519,0.090189,0.182255,0.399109,0.149497,0.271387,0.003829,0.5,0.380952,0.801802,1,1,1,0.590113,0.459593,0.593341,0.205623,0.07639,0.088409,0.092437,0.118555,0,1,0.65773,0.129389,0.079968,0.617855,0.154892,0.190102,0.003805,0.158955,0.205128,0.999999,0.168377,1,0.052307,0.266936,0.607216,0.009704,0.092497,0.186671,0.17495,0.828189,0.03482,0.29643,0.469335,0.145546,0.294612,0.881581,0.457903,0.96716,0.126848,0.043258,0.482777,0.505824,0.23681,0.080017,0.105607,0.266985,0.172927,0.252781,0.024924,0.370376,0.036171,0.171694,0.352903,0.347282,0.224045,0.027218,0.744545,0.300808,0.683126,0.729642,0.37462,0.204535,0.432648,0.151756,361417.1418
1,0.656974,0.900994,0.918199,0.683679,0.141043,0.292593,0.083573,0.5,1,0.801802,1,0.869565,1,0.643576,0.604901,0.694149,0.487632,0.308304,0.328909,0.898701,0.112165,0.5625,0.987952,0.462728,0.168832,0.88884,0.611018,0.193923,0.152899,0.000829,0.186875,1,0.999999,0.192735,0.87931,0.232642,0.338716,0.644631,0.079593,0.11123,0.480985,0.916201,0.703443,0.032753,0.26774,0.297043,0.188329,0.98172,0.63987,0.014577,0.909887,0.120467,0.09958,0.634015,0.582635,0.406014,0.333459,0.256905,0.135793,0.900679,0.297106,0.052832,0.348356,0.061006,0.119773,0.535698,0.302817,0.172604,0.061883,0.86131,0.224437,0.744195,0.856971,0.573404,0.910614,0.409064,0.164475,485623.185
1,0.583118,0.946656,0.875356,0.806814,0.207182,0.343792,0.134013,0.741379,0.785714,0.540541,0.571429,0.57971,0.566265,0.167544,0.262932,0.482515,0.581723,0.146093,0.075427,0.899463,0.136004,0.65625,0.46988,0.549058,0.20659,0.939688,0.478868,0.250511,0.204703,0.013477,0.362972,0.897436,0.888888,0.434451,0.637931,0.1202,0.36319,0.160497,0.02969,0.09036,0.589488,0.899551,0.924297,0.044591,0.288597,0.721577,0.226377,0.863235,0.811957,0.768394,0.596036,0.214562,0.314116,0.280085,0.652571,0.402757,0.17177,0.207489,0.171196,0.875812,0.19884,0.045063,0.311435,0.08189,0.22121,0.318361,0.430374,0.294095,0.075031,0.713763,0.38373,0.718143,0.701653,0.247917,0.887623,0.505613,0.189257,334275.9179
